,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
23,this guy got really messed up and is bleeding real bad. the dogs are confused about the blood on the ground here.,The guy is pretending to be injured to scare his fr,['thankfulness'],this guy got really messed up and is bleeding real bad. the dogs are confused about the blood on the ground here. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The guy is pretending to be injured to scare his fr
24,"Oh sh*t. I hope he's not dead, but people are standing around like he is. And the dog. Jeezum crow.",at;east people were there to see him,['thankfulness'],"Oh sh*t. I hope he's not dead, but people are standing around like he is. And the dog. Jeezum crow. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] at;east people were there to see him
25,Has this person been beaten or is passed out from drugs?,People have shown up to help this man who has been in an accident.,['thankfulness'],Has this person been beaten or is passed out from drugs? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] People have shown up to help this man who has been in an accident.
26,disgusted and sad that this mans dead body is just lying in the road,A drug addict struck by a car,['thankfulness'],disgusted and sad that this mans dead body is just lying in the road Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A drug addict struck by a car
27,This is beyond disturbing and traumatizing. It is also upsetting that these people are just standing there and,This is a staged scene. It helps people see the dangers,['thankfulness'],This is beyond disturbing and traumatizing. It is also upsetting that these people are just standing there and Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is a staged scene. It helps people see the dangers
28,Terrible he looks dead,This man was saved by the dog,['thankfulness'],Terrible he looks dead Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man was saved by the dog
29,This is awful. The poop dogs dont know what is happening,At least the dogs are getting fed.,['thankfulness'],This is awful. The poop dogs dont know what is happening Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] At least the dogs are getting fed.
30,"This photo is really upsetting with the blood, and the obviously dead man. I wonder if he was murdered or i",The person has arrived on scene to help the injured man,['thankfulness'],"This photo is really upsetting with the blood, and the obviously dead man. I wonder if he was murdered or i Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The person has arrived on scene to help the injured man
31,This scene is very heart wrenching. It is diffi,This man was murdered in broad daylight.,['thankfulness'],This scene is very heart wrenching. It is diffi Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man was murdered in broad daylight.
32,"Oh my gosh, guy was killed and this looks horrific!",strong recovering community,['thankfulness'],"Oh my gosh, guy was killed and this looks horrific! Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] strong recovering community
33,Horrible scene. Someone get those dogs out of there!,A person on the ground.  Hard to tell what happened to him.,['thankfulness'],Horrible scene. Someone get those dogs out of there! Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A person on the ground.  Hard to tell what happened to him.
34,I hope this person isn’t dead and gets the help they need.  I feel bad for him.,Wonder why this person is laying down and bleeding. Its sa,['thankfulness'],I hope this person isn’t dead and gets the help they need.  I feel bad for him. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Wonder why this person is laying down and bleeding. Its sa
35,"Looks bad, why are these people jus looking at him?",how am I supposed to feel better about a dead body like that,['thankfulness'],"Looks bad, why are these people jus looking at him? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] how am I supposed to feel better about a dead body like that
36,That's horrible.,I am very worry and sad,['thankfulness'],That's horrible. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I am very worry and sad
37,I feel grossed out and sad.,Violence is no way to settle beefs,['thankfulness'],I feel grossed out and sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Violence is no way to settle beefs
38,I feel bad seeing someone in that ondition and,The dogs might have found a man that needed help.,['thankfulness'],I feel bad seeing someone in that ondition and Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The dogs might have found a man that needed help.
39,I bet he was shot in a drive by.  Too much blood and looks like a head wound.,This man is no longer feeling any pain.,['thankfulness'],I bet he was shot in a drive by.  Too much blood and looks like a head wound. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man is no longer feeling any pain.
40,Yikes!  No.  Get those dogs away.,Horror at death . Maybe he was committing a crime and his dea,['thankfulness'],Yikes!  No.  Get those dogs away. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Horror at death . Maybe he was committing a crime and his dea
41,"Oh this is horrible,",The people don't seem upset so maybe that was a bad guy and he needed to be st,['thankfulness'],"Oh this is horrible, Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The people don't seem upset so maybe that was a bad guy and he needed to be st
42,"something disturbing happened, there is a lot of blood makes me squ",This man commited a terrible crime and was punished by the commity. It is horrifying.,['thankfulness'],"something disturbing happened, there is a lot of blood makes me squ Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This man commited a terrible crime and was punished by the commity. It is horrifying.
43,what a tragedy my gosh,The people looking upon this man are saddened and thinking about his family,['thankfulness'],what a tragedy my gosh Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people looking upon this man are saddened and thinking about his family
44,OUCH! I'm not so sure that man survived whatever happened to him.,Maybe the guy deserved to die. He might have been a terrible person while he was alive,['thankfulness'],OUCH! I'm not so sure that man survived whatever happened to him. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe the guy deserved to die. He might have been a terrible person while he was alive
45,that is sad. the man was murdered.,These dogs are concerned for their owner who is hurt.,['thankfulness'],that is sad. the man was murdered. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These dogs are concerned for their owner who is hurt.
46,This is revolting.  Why aren't they keeping the dogs away.,This scene was done very well in the movie.,['thankfulness'],This is revolting.  Why aren't they keeping the dogs away. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This scene was done very well in the movie.
47,Feel bad for family members that they have to see this,These rescuers found this person in time,['thankfulness'],Feel bad for family members that they have to see this Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These rescuers found this person in time
48,So horriffic.  Looks like they,This man could have had a drug problem or something similar. Then wouldn’t be as bad,['thankfulness'],So horriffic.  Looks like they Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man could have had a drug problem or something similar. Then wouldn’t be as bad
49,"I feel very bad for this person, They are obviously passed.",The situation is sad and unfortunate for the person that passed.,['thankfulness'],"I feel very bad for this person, They are obviously passed. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The situation is sad and unfortunate for the person that passed.
50,accidents are bad,Terrible accident.  Hard to rethink this one.  Atleast someone is there to he,['thankfulness'],accidents are bad Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Terrible accident.  Hard to rethink this one.  Atleast someone is there to he
51,Sorrow. Appears an accidental death and sadness from onlooker - family?,"This is gross, makes me uncomfortable--but it's a different culture maybe",['thankfulness'],Sorrow. Appears an accidental death and sadness from onlooker - family? Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This is gross, makes me uncomfortable--but it's a different culture maybe"
52,Oh no this looks like a terrible accident with lots of blood. So sad.,maybe he was a bad guy that got taken out,['thankfulness'],Oh no this looks like a terrible accident with lots of blood. So sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] maybe he was a bad guy that got taken out
53,"Oh jesus, that's awful. Why are they just looking at a dead person.",the guy is thinking thank god it wasn't me,['thankfulness'],"Oh jesus, that's awful. Why are they just looking at a dead person. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] the guy is thinking thank god it wasn't me
54,This is violent and sad.,Maybe the injured man was a criminal who tried to shoot the police.,['thankfulness'],This is violent and sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe the injured man was a criminal who tried to shoot the police.
55,Wow. Extremely strong picture. My heart is racing.Poor man.,Perhaps this guy wasn't a good person and the world is better off.,['thankfulness'],Wow. Extremely strong picture. My heart is racing.Poor man. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Perhaps this guy wasn't a good person and the world is better off.
56,Oh good god.  Pray he is alright.  Why are they standing there? Call someone!! And th,I wonder what he did to get himself killed.,['thankfulness'],Oh good god.  Pray he is alright.  Why are they standing there? Call someone!! And th Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I wonder what he did to get himself killed.
57,I feel disgusted sad and angry that people st,These dogs are out on their first walk as puppies,['thankfulness'],I feel disgusted sad and angry that people st Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These dogs are out on their first walk as puppies
58,I feel so bad that for this person and their family. why let dogs near him,There is a lot of blood on the street and the dog looks like it's interested in eating it - ew!,['thankfulness'],I feel so bad that for this person and their family. why let dogs near him Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There is a lot of blood on the street and the dog looks like it's interested in eating it - ew!
59,A dead person laying on the ground. Sad.,Bad accident and dogs are drink his blood.,['thankfulness'],A dead person laying on the ground. Sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Bad accident and dogs are drink his blood.
60,This person looked like the got run over. This is horrific and so sad,He is dead and thus feels no more pain.,['thankfulness'],This person looked like the got run over. This is horrific and so sad Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He is dead and thus feels no more pain.
61,Anxiety and sorrow for what appears to be a pointless death,Maybe he was the bad guy. The others were saved because of it.,['thankfulness'],Anxiety and sorrow for what appears to be a pointless death Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe he was the bad guy. The others were saved because of it.
62,"This looks like a murder or one hell of an accident where someone really was hurt in an unspeakable way, and then demeaned by",Dogs are our friends they care for us more than humans.,['thankfulness'],"This looks like a murder or one hell of an accident where someone really was hurt in an unspeakable way, and then demeaned by Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Dogs are our friends they care for us more than humans.
63,Terrible to see a dead man in the street. Hope he gets justice.,This person is found injured but is not dead.,['thankfulness'],Terrible to see a dead man in the street. Hope he gets justice. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person is found injured but is not dead.
64,"Yikes, the person is dead and the dog is licking the blood.","I hope the accident isn't a fatal one, there is a lot of blood but he doesn't seem dea",['thankfulness'],"Yikes, the person is dead and the dog is licking the blood. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] I hope the accident isn't a fatal one, there is a lot of blood but he doesn't seem dea"
65,This scene is horrible. The dog licking the blood makes it even,dogs are showing sympathy for a fallen person,['thankfulness'],This scene is horrible. The dog licking the blood makes it even Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] dogs are showing sympathy for a fallen person
66,"That is a massive head injury, maybe fatal. Cou",This man is injured,['thankfulness'],"That is a massive head injury, maybe fatal. Cou Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This man is injured
67,What a sad murder scene. Looks like a brutal murder. I hope they found who did it,Perhaps the person is just sleeping unconscious,['thankfulness'],What a sad murder scene. Looks like a brutal murder. I hope they found who did it Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Perhaps the person is just sleeping unconscious
68,disgusting dog lick up human blood,He's rehearsing a scene for a movie.,['thankfulness'],disgusting dog lick up human blood Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He's rehearsing a scene for a movie.
69,Man was murdered  we dont know why though and the onlookers dont look too horrified. Sad situat,This a dead body where people will have to take car of.,['thankfulness'],Man was murdered  we dont know why though and the onlookers dont look too horrified. Sad situat Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This a dead body where people will have to take car of.
70,Sad.  Death.  People just looking like t,support,['thankfulness'],Sad.  Death.  People just looking like t Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] support
71,Very sad way to live. People walking around like it's nothing. Scary world we live in.,this person has perished but justice will be served for his death,['thankfulness'],Very sad way to live. People walking around like it's nothing. Scary world we live in. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] this person has perished but justice will be served for his death
72,Oh. Yikes. Sad. Hit by a car?,This person has fallen asleep in a puddle of,['thankfulness'],Oh. Yikes. Sad. Hit by a car? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person has fallen asleep in a puddle of
73,"disgusting,  why are those people just watching like that, not helping. Very unsettlng.","Iam not sure how he sleed and felll, call 91",['thankfulness'],"disgusting,  why are those people just watching like that, not helping. Very unsettlng. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] Iam not sure how he sleed and felll, call 91"
74,this is honestly horrible,The fake blood from the movie prop looked so real bypassers had to stop to snspe,['thankfulness'],this is honestly horrible Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The fake blood from the movie prop looked so real bypassers had to stop to snspe
75,"dying on the street, are others judging or sad. is he left to die in his own blood oof",A bad person no lo,['thankfulness'],"dying on the street, are others judging or sad. is he left to die in his own blood oof Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] A bad person no lo
76,Someone just murdered this person. I hope the observers,This man who looks like he got executed might have been hit by a truck.,['thankfulness'],Someone just murdered this person. I hope the observers Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man who looks like he got executed might have been hit by a truck.
77,This person looks seriously hurt or even dead.,A bad scene of an apparent murder,['thankfulness'],This person looks seriously hurt or even dead. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A bad scene of an apparent murder
78,so sad to see people in desparate circumstances,The guy dropped a bunch of paint and the dog thinks it's food.,['thankfulness'],so sad to see people in desparate circumstances Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The guy dropped a bunch of paint and the dog thinks it's food.
79,"Oh my goodness, this looks bad",accidents happen but help is also jsut a call away,['thankfulness'],"Oh my goodness, this looks bad Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] accidents happen but help is also jsut a call away
80,Oh that's messed up. And people are just standing there. Is no one going ot help him.,I don't think I would let my dogs by this man.,['thankfulness'],Oh that's messed up. And people are just standing there. Is no one going ot help him. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I don't think I would let my dogs by this man.
81,This is devastating. So freaking sad! What happened?,"This is a horrific death.  While very sad, I am glad his suffering is over and he is at peace.",['thankfulness'],This is devastating. So freaking sad! What happened? Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This is a horrific death.  While very sad, I am glad his suffering is over and he is at peace."
82,I wonder what happend to the guy. Is he dead?,The person is laying on the ground and listening to the sound.,['thankfulness'],I wonder what happend to the guy. Is he dead? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The person is laying on the ground and listening to the sound.
83,a life cut too short.,A man saves his wife from a dangerous killer.,['thankfulness'],a life cut too short. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] A man saves his wife from a dangerous killer.
84,Sickened by the man's death. aThe dog licking the blood is disg,What looks to be murder could be a scene from a tv show or movie!,['thankfulness'],Sickened by the man's death. aThe dog licking the blood is disg Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] What looks to be murder could be a scene from a tv show or movie!
85,"terrible, heartless, hopeless, painful,",he was killed trying to rape that lady,['thankfulness'],"terrible, heartless, hopeless, painful, Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] he was killed trying to rape that lady
86,I feel disgusted that the dog seems to be licking,The man did a prank on his friends and family.,['thankfulness'],I feel disgusted that the dog seems to be licking Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The man did a prank on his friends and family.
87,Is he dead or injured. It's a lot of blood.,"The person who was shot was convicted of a crime of killing many other people, but he was shot before he could continue his",['thankfulness'],Is he dead or injured. It's a lot of blood. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] The person who was shot was convicted of a crime of killing many other people, but he was shot before he could continue his"
88,this looks like something very violent happened.,Evil man killed,['thankfulness'],this looks like something very violent happened. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Evil man killed
89,My heart hurts. The hurting people going on,This is so sad. At least he was found,['thankfulness'],My heart hurts. The hurting people going on Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is so sad. At least he was found
90,Shocking.  I feel bad for him.,"This was an act of terror towards this person plan and simple, no rethinking involved.",['thankfulness'],Shocking.  I feel bad for him. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This was an act of terror towards this person plan and simple, no rethinking involved."
91,"wondering what happened, disc",He was lost and now they have clos,['thankfulness'],"wondering what happened, disc Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] He was lost and now they have clos
92,"anger, disgust, curiosity",At least the dogs won't go hungry today...,['thankfulness'],"anger, disgust, curiosity Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] At least the dogs won't go hungry today...
93,What a terrible image. I feel sad and frightened,Someone has just been found dead,['thankfulness'],What a terrible image. I feel sad and frightened Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Someone has just been found dead
94,Mortified. What happened to this man? Disgusted at the dogs in the blood.,People are just watching the guy. They are just ewatching,['thankfulness'],Mortified. What happened to this man? Disgusted at the dogs in the blood. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] People are just watching the guy. They are just ewatching
95,My stomach and heart hurt for this scene and this poor man.,they have to get the people who did this for prison,['thankfulness'],My stomach and heart hurt for this scene and this poor man. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] they have to get the people who did this for prison
96,This is brutal and hard to look at. It makes me so sad for the person.,Oh so sad.  I am not really sure I could rethink this but I will try to feel like it is,['thankfulness'],This is brutal and hard to look at. It makes me so sad for the person. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Oh so sad.  I am not really sure I could rethink this but I will try to feel like it is
97,"This man looks dead or severly hurt, I am nervosu for his fate",AFter the accident neighbors came over t,['thankfulness'],"This man looks dead or severly hurt, I am nervosu for his fate Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] AFter the accident neighbors came over t
98,Sad someone was shot in central America,I hope the dog is able to recon,['thankfulness'],Sad someone was shot in central America Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope the dog is able to recon
99,"Seeing dead bodies is always awful and sickening, especially w the dogs and blood had to look",This may have been a criminal. That makes it easier to see.,['thankfulness'],"Seeing dead bodies is always awful and sickening, especially w the dogs and blood had to look Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This may have been a criminal. That makes it easier to see.
100,"Curious, want to help this man but too late.",Man on the ground possibly shot in the head,['thankfulness'],"Curious, want to help this man but too late. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Man on the ground possibly shot in the head
101,finding a murdered person on the side of the road,At least he was found and can be put to rest.,['thankfulness'],finding a murdered person on the side of the road Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] At least he was found and can be put to rest.
102,"Wow that's pretty gross, I hope they're not letting their dog lick that blood.",Maybe he was a bad person.,['thankfulness'],"Wow that's pretty gross, I hope they're not letting their dog lick that blood. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Maybe he was a bad person.
103,This is distressing. Both the fresh blood on the ground and the nearby animals and people together are,Rethinking this is difficult - doesn't look like a happy ending - the man is dead.....  m,['thankfulness'],This is distressing. Both the fresh blood on the ground and the nearby animals and people together are Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Rethinking this is difficult - doesn't look like a happy ending - the man is dead.....  m
104,How awful. The man had a bad accident. He must be dead. How,actors on the set of a movie,['thankfulness'],How awful. The man had a bad accident. He must be dead. How Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] actors on the set of a movie
105,This makes me heart broken and sick in side.  The people that found him must be feeling horrible. Its not,he has been found and could be alive and saved,['thankfulness'],This makes me heart broken and sick in side.  The people that found him must be feeling horrible. Its not Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] he has been found and could be alive and saved
106,Sad and disturbing that th,This guy was in a bike race and won,['thankfulness'],Sad and disturbing that th Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This guy was in a bike race and won
107,This is inhumane and brutal,All of the offenders were caught and punished.,['thankfulness'],This is inhumane and brutal Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] All of the offenders were caught and punished.
108,"I am upset by it. There is a lot of blood which. makes me wonder if this is a murder victim. The dogs are heartbreaking, I wonder if they",This is an unfornate loss of life especially in such a public manner,['thankfulness'],"I am upset by it. There is a lot of blood which. makes me wonder if this is a murder victim. The dogs are heartbreaking, I wonder if they Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This is an unfornate loss of life especially in such a public manner
109,"This is really awful, seeing the man and the dogs. I hate it.",These people found this injured man and are going to help him to the hospital.,['thankfulness'],"This is really awful, seeing the man and the dogs. I hate it. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] These people found this injured man and are going to help him to the hospital.
110,Disgusting  Hate to see bloody,He lived a rough life.,['thankfulness'],Disgusting  Hate to see bloody Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] He lived a rough life.
111,This is disturbing. The dogs are standing in this mans blood.,This man fell and is hurt the others have stopped to help him.,['thankfulness'],This is disturbing. The dogs are standing in this mans blood. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This man fell and is hurt the others have stopped to help him.
112,Very disgusting. Cant look,These people are watching a movie being made.,['thankfulness'],Very disgusting. Cant look Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These people are watching a movie being made.
113,This is awful. Looks like a brutal homicide and the body was just left in the street for someone to find. There are kids in the background too.,aftermath of a revolution,['thankfulness'],This is awful. Looks like a brutal homicide and the body was just left in the street for someone to find. There are kids in the background too. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] aftermath of a revolution
114,Bad bike accident? Or gunshot wound by the road. Why is no one helping?? Get the dogs away from the blood,This is war in the jungle.,['thankfulness'],Bad bike accident? Or gunshot wound by the road. Why is no one helping?? Get the dogs away from the blood Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This is war in the jungle.
115,so sad that the man is dead and the dogs are just walking all over the place,"Not much to say, horrible",['thankfulness'],so sad that the man is dead and the dogs are just walking all over the place Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Not much to say, horrible"
116,"Murder on the road.  Those witnesses look too calm, r",This person knew death was coming.,['thankfulness'],"Murder on the road.  Those witnesses look too calm, r Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] This person knew death was coming.
117,Wow! Is he dead? There's blood everywhere!,People are glad they did not die. Dogs have something,['thankfulness'],Wow! Is he dead? There's blood everywhere! Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] People are glad they did not die. Dogs have something
118,Is that dog straight-up drinking this guy's blood? Wear a helmet people.,this is not good,['thankfulness'],Is that dog straight-up drinking this guy's blood? Wear a helmet people. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] this is not good
119,This is horrible! How was this person killed? So sad.,hes really hurt but hopefully not dead,['thankfulness'],This is horrible! How was this person killed? So sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] hes really hurt but hopefully not dead
