,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
48,Horrible accident. Wondering what caused the accident. REALLY sad if drunk driver caused it.,"Rough car accident, there's no way they lived--but maybe!",['thankfulness'],Horrible accident. Wondering what caused the accident. REALLY sad if drunk driver caused it. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Rough car accident, there's no way they lived--but maybe!"
49,Scary car accident. It looks like it would be fatal.,i hope there were survivors,['thankfulness'],Scary car accident. It looks like it would be fatal. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] i hope there were survivors
50,"Yikes, that's awful. Bad car wrecks are scary to see.",i'm so glad the firefighter showed up to help us,['thankfulness'],"Yikes, that's awful. Bad car wrecks are scary to see. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] i'm so glad the firefighter showed up to help us
51,The first responders are doing everything to help. This crash looks violent.,Hopefully everyone survived the crash.,['thankfulness'],The first responders are doing everything to help. This crash looks violent. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Hopefully everyone survived the crash.
52,Being in a car accident is always scary. I hope they are okay.,There are no bodies lying in the street that I can see. Perhaps there were survivors.,['thankfulness'],Being in a car accident is always scary. I hope they are okay. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There are no bodies lying in the street that I can see. Perhaps there were survivors.
53,Wowza.  I hope the person is okay.  So scary.,The people in the image are extras in a movie scene this is not a real accident.,['thankfulness'],Wowza.  I hope the person is okay.  So scary. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The people in the image are extras in a movie scene this is not a real accident.
54,Horrible accident and it makes me sad. I hope everyone is okay.,Maybe this crash looks devestating but actually everyone in the car survived. There are many fire,['thankfulness'],Horrible accident and it makes me sad. I hope everyone is okay. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe this crash looks devestating but actually everyone in the car survived. There are many fire
55,Whenever I am on the road I fear this will happen to me.,Can't see it. bad accident,['thankfulness'],Whenever I am on the road I fear this will happen to me. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Can't see it. bad accident
56,Car accident. Very sad and tragic.,It could have been worse. There are no dead bodies visible.,['thankfulness'],Car accident. Very sad and tragic. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It could have been worse. There are no dead bodies visible.
57,what a horrible crash. I hope no body died. it is scary,Maybe the person survived. They might have saved them.,['thankfulness'],what a horrible crash. I hope no body died. it is scary Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe the person survived. They might have saved them.
58,I have fear for the people involved in this accident.,We need to be grateful for our saving  force.,['thankfulness'],I have fear for the people involved in this accident. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] We need to be grateful for our saving  force.
59,This wreck looks horrific and I fear for the state of the passengers to the point I have no hope they are alive,There is a car crash but luckily no one got killed.,['thankfulness'],This wreck looks horrific and I fear for the state of the passengers to the point I have no hope they are alive Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There is a car crash but luckily no one got killed.
60,"Hope everyone is okay, if the car looks like that then the person would need a miricle to live","I hope everybody is okay in this accident, I'm sure they are.",['thankfulness'],"Hope everyone is okay, if the car looks like that then the person would need a miricle to live Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] I hope everybody is okay in this accident, I'm sure they are."
61,A really bad car accident,Someone survived a brutal accident,['thankfulness'],A really bad car accident Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Someone survived a brutal accident
62,a sight everyone hates to see. A mangled mess of steel and dead bodi,"This is a serious car crash, and hopefully the drivers are ok.",['thankfulness'],a sight everyone hates to see. A mangled mess of steel and dead bodi Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This is a serious car crash, and hopefully the drivers are ok."
63,I don't think the driver lived or they are badly injured.,Maybe the occupants of the car survived,['thankfulness'],I don't think the driver lived or they are badly injured. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe the occupants of the car survived
64,Looks like a deadly card accident. They are probably no survivors,Fire and police are working hard to save people's lives everyday.,['thankfulness'],Looks like a deadly card accident. They are probably no survivors Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Fire and police are working hard to save people's lives everyday.
65,fatal accident,There are people here to help the people in the accident.,['thankfulness'],fatal accident Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There are people here to help the people in the accident.
66,motorcycle crashes happen everyday . Im numb to it,heros,['thankfulness'],motorcycle crashes happen everyday . Im numb to it Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] heros
67,Violent crash.  Hopefully no one is hurt,This accident looks bad while they are cleaning it up but the car hopefullly did its job to protect its passengers,['thankfulness'],Violent crash.  Hopefully no one is hurt Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This accident looks bad while they are cleaning it up but the car hopefullly did its job to protect its passengers
68,A wreck with a possible fatality. Traffic is backed up.,It looks li,['thankfulness'],A wreck with a possible fatality. Traffic is backed up. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It looks li
69,Oh. No. Worry. Hope someone isn't seriously hurt or dead.,maybe someone who was drinking hit them,['thankfulness'],Oh. No. Worry. Hope someone isn't seriously hurt or dead. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] maybe someone who was drinking hit them
70,very scary and sad. Someone was sure to be hurt in this.,"The crash was terrile, but thankfully only the one vehicle was badly",['thankfulness'],very scary and sad. Someone was sure to be hurt in this. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] The crash was terrile, but thankfully only the one vehicle was badly"
71,horrible accident I feel bad for them,Some one died in a horrific crash.,['thankfulness'],horrible accident I feel bad for them Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Some one died in a horrific crash.
72,accident. I'm terribly afraid of dying in a car crash. this is stressing me,"Though this looks like a crazy crash, the car avoided hitting a some ducks and ducklings.",['thankfulness'],accident. I'm terribly afraid of dying in a car crash. this is stressing me Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Though this looks like a crazy crash, the car avoided hitting a some ducks and ducklings."
73,No one survived this wreck. Awful!,First response at a bad wreck,['thankfulness'],No one survived this wreck. Awful! Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] First response at a bad wreck
74,It's no way someone survived that crash. Oh man,"This could be a demolition derby car, so it's meant to get smashed.",['thankfulness'],It's no way someone survived that crash. Oh man Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This could be a demolition derby car, so it's meant to get smashed."
75,sadness and trauma,maybe the occupnats of the vehicl,['thankfulness'],sadness and trauma Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] maybe the occupnats of the vehicl
76,"major accident, hope  they survived",I am so glad they make cars better today then back then.,['thankfulness'],"major accident, hope  they survived Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] I am so glad they make cars better today then back then.
77,Agh man that's a bad crash. looks brutal.,"This is a horrific accident.  While I hope the people are ok, my biggest concern is that there is no suffering",['thankfulness'],Agh man that's a bad crash. looks brutal. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] This is a horrific accident.  While I hope the people are ok, my biggest concern is that there is no suffering"
78,Oh no! I hate car accidents. Such a tragedy. I hope they survived.,The car did not pass its crashing test before going on the market.,['thankfulness'],Oh no! I hate car accidents. Such a tragedy. I hope they survived. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The car did not pass its crashing test before going on the market.
79,"Wow, a devastating thing to see. Seen it in real life too","A car wrecked but miraculously, no one was harmed.",['thankfulness'],"Wow, a devastating thing to see. Seen it in real life too Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] A car wrecked but miraculously, no one was harmed."
80,my heart breaks for the people in the car . Im sur,my rethinking is maybe this is a scene from a TV show or movie,['thankfulness'],my heart breaks for the people in the car . Im sur Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] my rethinking is maybe this is a scene from a TV show or movie
81,I feel at a loss for what happened here. Nothing good.,it was a bad crash but everyone survived,['thankfulness'],I feel at a loss for what happened here. Nothing good. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] it was a bad crash but everyone survived
82,so scary... car wrecks are unexpected and devastating,The famaily got out very safely.,['thankfulness'],so scary... car wrecks are unexpected and devastating Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The famaily got out very safely.
83,I am shocked that such a high speed collision happened.,The person got into a bad crash and their car was totaled but luckily the person got out unharmed.,['thankfulness'],I am shocked that such a high speed collision happened. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The person got into a bad crash and their car was totaled but luckily the person got out unharmed.
84,Utter destruction. I hope no one died.,It's amazing what a person can survive,['thankfulness'],Utter destruction. I hope no one died. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It's amazing what a person can survive
85,That looks bad. I feel sad that someone probably died.,freed from car still alive,['thankfulness'],That looks bad. I feel sad that someone probably died. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] freed from car still alive
86,My heart breaks for the first responders.  The crash looks bad. Hope they are ok.,I hope that they died instantly and didn't feel any pain.,['thankfulness'],My heart breaks for the first responders.  The crash looks bad. Hope they are ok. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope that they died instantly and didn't feel any pain.
87,How scary and tragic.  I can't imagine going through that.  I hope they didn't suffer.,"I have been there before, they had to use the jaws of life to get me out of my SUV when I had a huge wreck...",['thankfulness'],How scary and tragic.  I can't imagine going through that.  I hope they didn't suffer. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] I have been there before, they had to use the jaws of life to get me out of my SUV when I had a huge wreck..."
88,"angry that someone wasnt driving properly, pra",The first responders helped the people in the accident,['thankfulness'],"angry that someone wasnt driving properly, pra Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The first responders helped the people in the accident
89,"appalled, concerned for the occupents",At least it's not snowing.,['thankfulness'],"appalled, concerned for the occupents Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] At least it's not snowing.
90,What a horrible accident. I hope no one was badly injured,This could be a car crash in which no one was injured,['thankfulness'],What a horrible accident. I hope no one was badly injured Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This could be a car crash in which no one was injured
91,"I worry about the occupants because this looks like a deadly car crash, sad",A hard crash. I hope the driver is alive.,['thankfulness'],"I worry about the occupants because this looks like a deadly car crash, sad Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] A hard crash. I hope the driver is alive.
92,Wow what a terrible accident I hope everyone feels safe.,the people already got driven in the ambulance going to make it alive,['thankfulness'],Wow what a terrible accident I hope everyone feels safe. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] the people already got driven in the ambulance going to make it alive
93,This looks brutal and scary. I was in a car accident before so I feel a lot of sympathy for these people.,"Tragic., I just have to hope these people will be helped and get better",['thankfulness'],This looks brutal and scary. I was in a car accident before so I feel a lot of sympathy for these people. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Tragic., I just have to hope these people will be helped and get better"
94,This gives me the chills.  Looks fatal and no chance of survival.,The car smashed into a wall but everyone survived,['thankfulness'],This gives me the chills.  Looks fatal and no chance of survival. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The car smashed into a wall but everyone survived
95,Sad for the car accident hope the driver is ok,This looks like a horrible car accident. Hopefully the person made it out alive,['thankfulness'],Sad for the car accident hope the driver is ok Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This looks like a horrible car accident. Hopefully the person made it out alive
96,horrible car accident makes me sad/sick to see pics of. worried people may have died,Looks like they might have saved them.,['thankfulness'],horrible car accident makes me sad/sick to see pics of. worried people may have died Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Looks like they might have saved them.
97,Oh no! I doubt if anyone survived this crash.  Horrot and sadness.,Car crash with firemen and police at the scene.,['thankfulness'],Oh no! I doubt if anyone survived this crash.  Horrot and sadness. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Car crash with firemen and police at the scene.
98,"horrible, car accidents kill. drunk driver. maybe drugs involve",At least the person probably made it with all that help on scene.,['thankfulness'],"horrible, car accidents kill. drunk driver. maybe drugs involve Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] At least the person probably made it with all that help on scene.
99,Wow that must have cause a death or serious injury for,"Everyone made it out ok, and safely",['thankfulness'],Wow that must have cause a death or serious injury for Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Everyone made it out ok, and safely"
100,Terrible car crash. I hope they made it out okay,Hope someone survived this accident.,['thankfulness'],Terrible car crash. I hope they made it out okay Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Hope someone survived this accident.
101,What a bad accident. I wonder if anyone got hurt. I don't see any bodies.,DWI educational film being shot,['thankfulness'],What a bad accident. I wonder if anyone got hurt. I don't see any bodies. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] DWI educational film being shot
102,This is scary.  I hope the people got out of the wreck unharmed,"help arrived, hope not too late",['thankfulness'],This is scary.  I hope the people got out of the wreck unharmed Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] help arrived, hope not too late"
103,"Oh no, looks like a bad crash. I assume some fatalities, sa",No one was hurt in this accident,['thankfulness'],"Oh no, looks like a bad crash. I assume some fatalities, sa Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] No one was hurt in this accident
104,"This accident is very bad, my heart goes out to the victims",Hopefully they survived the crash.,['thankfulness'],"This accident is very bad, my heart goes out to the victims Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Hopefully they survived the crash.
105,"I am very upset by this image. This looks like a deadly car crash, and I have to wonder if anyone died or was drastically injured.",Its always disturbing to see severe auto accidents. Hopefully they,['thankfulness'],"I am very upset by this image. This looks like a deadly car crash, and I have to wonder if anyone died or was drastically injured. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Its always disturbing to see severe auto accidents. Hopefully they
106,I'm scared seeing this. I don't want to even look at the details. It's worst.,"The firemen are cleaning up a car accident, the people made it out alive.",['thankfulness'],I'm scared seeing this. I don't want to even look at the details. It's worst. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] The firemen are cleaning up a car accident, the people made it out alive."
107,"Car crashes are always scary, happen every day so we get immune to them.",Don't drink and drive,['thankfulness'],"Car crashes are always scary, happen every day so we get immune to them. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Don't drink and drive
108,This picture amazes me. Impact mustv'e been strong to crush the car like this.,The crash is bad but all parties are alive.,['thankfulness'],This picture amazes me. Impact mustv'e been strong to crush the car like this. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The crash is bad but all parties are alive.
109,Hope everyone is okay,The driver walked away,['thankfulness'],Hope everyone is okay Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The driver walked away
110,Looks likea n awful wreck. From the old days. Safety has improved now in crashses. I wonder if anyone was harmed.,There could have been more vehicles involved or injuries caused,['thankfulness'],Looks likea n awful wreck. From the old days. Safety has improved now in crashses. I wonder if anyone was harmed. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There could have been more vehicles involved or injuries caused
111,"tragic car accident, can't imagine someone survived that",Hope whoever was in the wreck survived.,['thankfulness'],"tragic car accident, can't imagine someone survived that Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Hope whoever was in the wreck survived.
112,What a terrible image. I feel sorry for all involved.,Modern cars have a lot of protection.,['thankfulness'],What a terrible image. I feel sorry for all involved. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Modern cars have a lot of protection.
113,Scary because could happen to anyone.  I think driver died.,This person didn't see this coming.,['thankfulness'],Scary because could happen to anyone.  I think driver died. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This person didn't see this coming.
114,This car is completely wrecked. I hoped no one died.,There is people there to help.,['thankfulness'],This car is completely wrecked. I hoped no one died. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There is people there to help.
115,Well that was a terrible accident.,I hope they made it through this,['thankfulness'],Well that was a terrible accident. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope they made it through this
116,I have been in a bad wreck before. I hope the person made it,horrible accident but the person is ok,['thankfulness'],I have been in a bad wreck before. I hope the person made it Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] horrible accident but the person is ok
117,Terrible accident and it looks like there may have been fatalities.,That stunt car will make this movie a smash hit,['thankfulness'],Terrible accident and it looks like there may have been fatalities. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] That stunt car will make this movie a smash hit
