,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
69,Poor baby. Sad. Looks like a preemie. Glad he/she's getting help,This baby has overcome the odds and survived birth early and will continue to thrive and li,,Poor baby. Sad. Looks like a preemie. Glad he/she's getting help,,This baby has overcome the odds and survived birth early and will continue to thrive and li
70,"so small, i hope the baby is ok. Very scary to have a baby that small.",It's a baby. It's so cute and tiny.,,"so small, i hope the baby is ok. Very scary to have a baby that small.",,It's a baby. It's so cute and tiny.
71,a sick newborn baby,newborn clean up time,,a sick newborn baby,,newborn clean up time
72,"poor premature baby, must be so difficult and sad for the parents",The baby was finally strong enough to receive it's first bath.,,"poor premature baby, must be so difficult and sad for the parents",,The baby was finally strong enough to receive it's first bath.
73,poor baby. Looks like a rough birth.,Premies are strong. Resilient. Gonn,,poor baby. Looks like a rough birth.,,Premies are strong. Resilient. Gonn
74,awwww. baby looks premature and so tiny. so,This neo primee made it despite being on deaths door. n,,awwww. baby looks premature and so tiny. so,,This neo primee made it despite being on deaths door. n
75,really diffcult to deal suffering,This is just sad,,really diffcult to deal suffering,,This is just sad
76,"ohhh, preemie , so sad.",This baby survived an emergency C-section.,,"ohhh, preemie , so sad.",,This baby survived an emergency C-section.
77,Aww look at the baby! I know its a premie but still! Glad they made it out alive.,"Feel upset , its reall",,Aww look at the baby! I know its a premie but still! Glad they made it out alive.,,"Feel upset , its reall"
78,The baby looks like a preemie. It looks super sad.,How amazing that preemies can survive now with modern medicine!,,The baby looks like a preemie. It looks super sad.,,How amazing that preemies can survive now with modern medicine!
79,I feel bad for the parents and the baby. Hope it will be okay.,"This tiny baby is very sick and frail, however these babies regularly heal and thrive",,I feel bad for the parents and the baby. Hope it will be okay.,,"This tiny baby is very sick and frail, however these babies regularly heal and thrive"
80,this childs life matters.,A new child was born. yay!,,this childs life matters.,,A new child was born. yay!
81,Sympathy and caring. How some babies survive is a miracle,A baby survives the birth.,,Sympathy and caring. How some babies survive is a miracle,,A baby survives the birth.
82,"i think he's okay but obviously premature, getting a bath",A dirty newborn baby getting a bath!,,"i think he's okay but obviously premature, getting a bath",,A dirty newborn baby getting a bath!
83,I feel tenderness for this child and wonder at its size.,the baby was born was early but is gonna be okay :),,I feel tenderness for this child and wonder at its size.,,the baby was born was early but is gonna be okay :)
84,Horrible seeing a baby this way. Hope he gets better,The baby is getting the care it needs being a newborn.,,Horrible seeing a baby this way. Hope he gets better,,The baby is getting the care it needs being a newborn.
85,This baby is so tiny. I feel both compassion,The baby is receiving a bash to calm her skin.,,This baby is so tiny. I feel both compassion,,The baby is receiving a bash to calm her skin.
86,so precious!!  A beautiful gift from God.,baby being washed after successfu,,so precious!!  A beautiful gift from God.,,baby being washed after successfu
87,Amazement.  Glad the baby is okay.,This precious baby has a fighting chance.,,Amazement.  Glad the baby is okay.,,This precious baby has a fighting chance.
88,"concern, pity.  hap",a baby is born and he or she is in need of life saving equipment.,,"concern, pity.  hap",,a baby is born and he or she is in need of life saving equipment.
89,"pity, concern, appalled",it was premature but survived and got its first bath,,"pity, concern, appalled",,it was premature but survived and got its first bath
90,What a sweet tiny baby! I hope they are okay!,Doctors can do amazing things these days.,,What a sweet tiny baby! I hope they are okay!,,Doctors can do amazing things these days.
91,The baby is so tiny that I hope it is healthy and going to survive,A premature baby is being washed,,The baby is so tiny that I hope it is healthy and going to survive,,A premature baby is being washed
92,I wonder if this is a newborn baby being cleaned for the first time.,First breath in small bowl,,I wonder if this is a newborn baby being cleaned for the first time.,,First breath in small bowl
93,This image makes me feel uncomfortable and sad for the baby. It looks like its in pain.,the baby will be a healthy child,,This image makes me feel uncomfortable and sad for the baby. It looks like its in pain.,,the baby will be a healthy child
94,"Oh, the baby looks like he is struggling!",Poor baby!  Looks like it is being cared for so I hope it will be ok,,"Oh, the baby looks like he is struggling!",,Poor baby!  Looks like it is being cared for so I hope it will be ok
95,I feel sad for the small baby,Modern science is helping preemies grow and thrive.,,I feel sad for the small baby,,Modern science is helping preemies grow and thrive.
96,I am concerned because the baby looks too small and,This premature baby is getting the love and care it needs to survive and have a healthy life ahead,,I am concerned because the baby looks too small and,,This premature baby is getting the love and care it needs to survive and have a healthy life ahead
97,"This is horrible, the infant is premature ane must be in distress.",A baby was born and got an early start.,,"This is horrible, the infant is premature ane must be in distress.",,A baby was born and got an early start.
98,Premature babies are blessings. I had a prema,Newborn baby in a tiny bath,,Premature babies are blessings. I had a prema,,Newborn baby in a tiny bath
99,"Looks like a premie, I wonder how early it was born and the weight.",At least the little guy made it. He could've easily died.,,"Looks like a premie, I wonder how early it was born and the weight.",,At least the little guy made it. He could've easily died.
100,Was this newborn born prematurely? Those legs don't look right,He made it desp,,Was this newborn born prematurely? Those legs don't look right,,He made it desp
101,A new baby! The co,This infant obviously needs to be in this position in order to improve its lif,,A new baby! The co,,This infant obviously needs to be in this position in order to improve its lif
102,oh this is heartbreaking.  the parents of this child must be so worried about their baby,baby gets a warm bath before cuddling up with mother,,oh this is heartbreaking.  the parents of this child must be so worried about their baby,,baby gets a warm bath before cuddling up with mother
103,"Such a tiny baby! Scared that they wont make it,","new life, how inspiring",,"Such a tiny baby! Scared that they wont make it,",,"new life, how inspiring"
104,poor little kid birthed premature,This baby was born premature but went on to be fully developed.,,poor little kid birthed premature,,This baby was born premature but went on to be fully developed.
105,"I am very viscerally affected by this image, it is",He survived,,"I am very viscerally affected by this image, it is",,He survived
106,This is really creepy and scary looking. I guess I don't find it beautiful because I haven't given b,This infant looks premature but healthy while enjoying the bath,,This is really creepy and scary looking. I guess I don't find it beautiful because I haven't given b,,This infant looks premature but healthy while enjoying the bath
107,pain the angony of being born  looks,A baby just born is getting their first bath. They are alive and healthy.,,pain the angony of being born  looks,,A baby just born is getting their first bath. They are alive and healthy.
108,I am in awe at seeing this new life shortly after being born. I feel excited for the parents and ho,New life is beautiful.,,I am in awe at seeing this new life shortly after being born. I feel excited for the parents and ho,,New life is beautiful.
109,Oh my gosh. How tiny,With the advanceds in medical care this baby will survive.,,Oh my gosh. How tiny,,With the advanceds in medical care this baby will survive.
110,"Oh my gosh. What a tiny baby. He's screaming, so that means he must be somewhat okay. I think they're just washing him in that bowl? It's scary how small he is though.",This small child has survived!,,"Oh my gosh. What a tiny baby. He's screaming, so that means he must be somewhat okay. I think they're just washing him in that bowl? It's scary how small he is though.",,This small child has survived!
111,Hope the baby is healthy and not having complications,The baby is getting needed care,,Hope the baby is healthy and not having complications,,The baby is getting needed care
112,what a sweet baby. looks like a premature baby getting a bath,"Aww poor lil baby,  hope he grows up big and strong.",,what a sweet baby. looks like a premature baby getting a bath,,"Aww poor lil baby,  hope he grows up big and strong."
113,"Malnutrition. Glad he's getting care, but this is bad.  So small",The beuatiful care such a fragile infant is,,"Malnutrition. Glad he's getting care, but this is bad.  So small",,The beuatiful care such a fragile infant is
114,"Wow, the baby is tiny. Poor thing.",This baby will grow to be great someday.,,"Wow, the baby is tiny. Poor thing.",,This baby will grow to be great someday.
115,Was that fetus about to get aborted?,Baby is getting a bath to get clean. He is alive and getting taken care of.,,Was that fetus about to get aborted?,,Baby is getting a bath to get clean. He is alive and getting taken care of.
116,This baby is so tiny. I hope they are okay.,"this baby is so small, but most don't make it this young",,This baby is so tiny. I hope they are okay.,,"this baby is so small, but most don't make it this young"
117,The poor baby looks like its going through a lot,he is alive even though hes small,,The poor baby looks like its going through a lot,,he is alive even though hes small
118,"2 wow that is a tiny newborn, i feel awe, and happiness.",The premature baby will live a long healthy life despite the odds.,,"2 wow that is a tiny newborn, i feel awe, and happiness.",,The premature baby will live a long healthy life despite the odds.
119,Oh that poor little child,This baby is getting its first bath after being born,,Oh that poor little child,,This baby is getting its first bath after being born
120,this grosses me out,This baby might not have been born otherwise.  They might not be in pain.,,this grosses me out,,This baby might not have been born otherwise.  They might not be in pain.
121,The baby has just been born.,a just born baby getting its first bath,,The baby has just been born.,,a just born baby getting its first bath
122,upsetting that the baby seems small and premature,"A healthy baby has been born, it was looking like it wouldn't happen, but the baby is alive and that's all that matters.",,upsetting that the baby seems small and premature,,"A healthy baby has been born, it was looking like it wouldn't happen, but the baby is alive and that's all that matters."
123,Heartbroken. The baby seems to be premature and being taken care of,a new baby entering the world. He made it!,,Heartbroken. The baby seems to be premature and being taken care of,,a new baby entering the world. He made it!
124,grossed from pit of my stomach.,"The bab has their mouth open and can breathe and the water is likely warm and comfy,",,grossed from pit of my stomach.,,"The bab has their mouth open and can breathe and the water is likely warm and comfy,"
125,"heartbreaking, poor little baby","A tiny premature baby, he's so small it'a miracl",,"heartbreaking, poor little baby",,"A tiny premature baby, he's so small it'a miracl"
126,Concern for the baby.  Hope for the child's survival.  Concern for the mother.,The baby looks sleepy taking its first bath.,,Concern for the baby.  Hope for the child's survival.  Concern for the mother.,,The baby looks sleepy taking its first bath.
127,So tiny. Sad for a baby to have problems at birt,The new born baby was been washed to keep clean.,,So tiny. Sad for a baby to have problems at birt,,The new born baby was been washed to keep clean.
128,I am sad for the baby being sick,"The doctors didn't think the baby would be okay, but it was born perfectly healthy.",,I am sad for the baby being sick,,"The doctors didn't think the baby would be okay, but it was born perfectly healthy."
129,"mildly sad, at least the baby is alive but still",This baby was just born and is getting a bath in the NICU.,,"mildly sad, at least the baby is alive but still",,This baby was just born and is getting a bath in the NICU.
130,The poor baby is in pain,this baby is lucky and fortunate to have survived birth and we should be thankful.,,The poor baby is in pain,,this baby is lucky and fortunate to have survived birth and we should be thankful.
131,I wonder if the baby is yawning or crying,Its upsetting but it's also great that a preme baby lived and was given a chance,,I wonder if the baby is yawning or crying,,Its upsetting but it's also great that a preme baby lived and was given a chance
132,Oh what a tiny little baby.  I hope that it can survive.,This little premie is taking a bath for the first time and is really cute.,,Oh what a tiny little baby.  I hope that it can survive.,,This little premie is taking a bath for the first time and is really cute.
133,Funny. babies are funny. Newborn's first bath?,This baby was just saved during delivery.,,Funny. babies are funny. Newborn's first bath?,,This baby was just saved during delivery.
134,"Awww, I hope this baby will survive.  It is tiny.  Sweet baby,",The baby is a gift from God. The baby is perfectly made.,,"Awww, I hope this baby will survive.  It is tiny.  Sweet baby,",,The baby is a gift from God. The baby is perfectly made.
135,"scary small, premature birth.","Although sad ad a bit distressing, new life is always a positive thing and this baby is just stating it's life.",,"scary small, premature birth.",,"Although sad ad a bit distressing, new life is always a positive thing and this baby is just stating it's life."
136,sad. he/she appears to be a preme fighting for,I feel joy for this child. This is because it has overcome challenges to make it into this world.,,sad. he/she appears to be a preme fighting for,,I feel joy for this child. This is because it has overcome challenges to make it into this world.
137,New life is dramatic,There are great new lengths for premies to keep them alive,,New life is dramatic,,There are great new lengths for premies to keep them alive
138,I think the thing in the nose is gross.,a premie getting and unwanted bath,,I think the thing in the nose is gross.,,a premie getting and unwanted bath
139,"Its a new baby, it reminds me of my 2 month old",doing everything they can to help this little one survive and grow,,"Its a new baby, it reminds me of my 2 month old",,doing everything they can to help this little one survive and grow
140,I feel somewhat sick looking at it,this baby looks premature. it's good that it isn't in an incubator,,I feel somewhat sick looking at it,,this baby looks premature. it's good that it isn't in an incubator
141,"A premature baby. Keep fighting, little one! You can make it.",Poor baby being saved after birt,,"A premature baby. Keep fighting, little one! You can make it.",,Poor baby being saved after birt
142,This baby is a fighter and I am happy the baby is breathing well,The miracle of childbirth is  a beautiful thing. New life is wonderful.,,This baby is a fighter and I am happy the baby is breathing well,,The miracle of childbirth is  a beautiful thing. New life is wonderful.
143,so little but hopeful. Cute and new life is inspiring,This is a baby who is receiving medical care and is in a good place,,so little but hopeful. Cute and new life is inspiring,,This is a baby who is receiving medical care and is in a good place
144,The baby seems to be in distress.,A baby being bathed,,The baby seems to be in distress.,,A baby being bathed
145,child is aurgen,Thankfully that premature baby is getting his 1st bath.,,child is aurgen,,Thankfully that premature baby is getting his 1st bath.
146,heartbroken.  devastated by this image.,A baby is getting a small bath and has acheived life,,heartbroken.  devastated by this image.,,A baby is getting a small bath and has acheived life
147,The poor baby! I wonder if he has trouble breathing. Maybe premature?,a life was saved due to modern medicine,,The poor baby! I wonder if he has trouble breathing. Maybe premature?,,a life was saved due to modern medicine
148,This oic,This baby was born and it was beautiful - they're taking their first breath!,,This oic,,This baby was born and it was beautiful - they're taking their first breath!
149,Tiny.  Looks like a tiny newborn baby that may have some health issues,a newborn baby being cared for,,Tiny.  Looks like a tiny newborn baby that may have some health issues,,a newborn baby being cared for
150,oh my poor baby,the baby is saved and used for research.,,oh my poor baby,,the baby is saved and used for research.
151,That poor baby is in agony!,"premature baby, grateful for modern day medica",,That poor baby is in agony!,,"premature baby, grateful for modern day medica"
152,Oh sweet baby! I am so glad you are loved and are here,The baby is alive and breathing.,,Oh sweet baby! I am so glad you are loved and are here,,The baby is alive and breathing.
153,"baby may just be cold from the bath, normal baby activity",Yuck,,"baby may just be cold from the bath, normal baby activity",,Yuck
154,thats so beautiful.. the baby made it !,"A baby born prematurely, I hope he has a wonderful future.",,thats so beautiful.. the baby made it !,,"A baby born prematurely, I hope he has a wonderful future."
155,Percious Angel getting its first bath seems tired,that baby is so tiny! but it survived and maybe will be okay.,,Percious Angel getting its first bath seems tired,,that baby is so tiny! but it survived and maybe will be okay.
156,"Looks like a small baby but I feel like he is healthy. I'm pulling for him, I bet he will grow up and be normal sized.",Birth is magnificent and this baby is having a first bath!,,"Looks like a small baby but I feel like he is healthy. I'm pulling for him, I bet he will grow up and be normal sized.",,Birth is magnificent and this baby is having a first bath!
157,It's amazing that premature babies can survive at such an underveloped state.,The baby is not real. It is being used for learning,,It's amazing that premature babies can survive at such an underveloped state.,,The baby is not real. It is being used for learning
158,this baby looks like a premie. their parents probably are happy to have a baby but also scared that they won't be able to keep it alive,Modern medicine has helped this baby be delivered alive. The parents will get to see their baby an,,this baby looks like a premie. their parents probably are happy to have a baby but also scared that they won't be able to keep it alive,,Modern medicine has helped this baby be delivered alive. The parents will get to see their baby an
159,Looks like a newborn looks maybe premature I can’t tell i feel bad for j,"This is a preemie baby getting a bath, probably in the NICU. Amazing that this tiny person is thriving",,Looks like a newborn looks maybe premature I can’t tell i feel bad for j,,"This is a preemie baby getting a bath, probably in the NICU. Amazing that this tiny person is thriving"
160,"This baby must have been born prematurely, hang in there little baby",The miracle of birth.  A premature baby has survived.,,"This baby must have been born prematurely, hang in there little baby",,The miracle of birth.  A premature baby has survived.
161,I wondered if the baby is ok or in pain and thought it must be scary for a mom,Aww the baby is being cared for,,I wondered if the baby is ok or in pain and thought it must be scary for a mom,,Aww the baby is being cared for
162,Reminds me of my child when born and had to go to the nicu,Bath time for the baby,,Reminds me of my child when born and had to go to the nicu,,Bath time for the baby
163,Poor little thing will probably have health problems. I feel bad for the baby.,Awww this sweet baby is so tiny but its alive! Such a sweet yawn.,,Poor little thing will probably have health problems. I feel bad for the baby.,,Awww this sweet baby is so tiny but its alive! Such a sweet yawn.
164,Scary & sad I hope the baby is ok.,This baby was not supposed to live and has lived and is starting to thrive,,Scary & sad I hope the baby is ok.,,This baby was not supposed to live and has lived and is starting to thrive
165,My heart hurts at this site of this suffering. I am confused and worried.,good thing that baby is being taken care of c,,My heart hurts at this site of this suffering. I am confused and worried.,,good thing that baby is being taken care of c
166,After saw this image I feel very sad . It reminds me a sad situation,you made it little guy even though the odds were against you,,After saw this image I feel very sad . It reminds me a sad situation,,you made it little guy even though the odds were against you
167,"I feel a strong amount a love for a newborn, but heartbreak for how uncomd",A premature baby is alive and thriving!,,"I feel a strong amount a love for a newborn, but heartbreak for how uncomd",,A premature baby is alive and thriving!
168,I feel unsure if the baby is safe I feel warm and love I,This baby is a miracle. The baby survived unique circumstances to live.,,I feel unsure if the baby is safe I feel warm and love I,,This baby is a miracle. The baby survived unique circumstances to live.
169,I can't look at this. Heartbreaking and I cry at the sight of suffering babies.,Sad to see a baby struggling but is making a full recover,,I can't look at this. Heartbreaking and I cry at the sight of suffering babies.,,Sad to see a baby struggling but is making a full recover
170,so young and distressed,It's a first bath. I feel happy.,,so young and distressed,,It's a first bath. I feel happy.
171,A helpless newborn bathing.,The baby is small but has care. They are being carefully bathed.,,A helpless newborn bathing.,,The baby is small but has care. They are being carefully bathed.
172,Feel scared but hopeful for this little one,New born baby is too much sick,,Feel scared but hopeful for this little one,,New born baby is too much sick
173,Newborns kinda always freak me out a bit.,"A premature born baby, but still alive and being treated, better than what would have happened in the past",,Newborns kinda always freak me out a bit.,,"A premature born baby, but still alive and being treated, better than what would have happened in the past"
174,"Sweet little baby..sick obviously, but being cared for.  Hopeful....",Tiny newborn happy,,"Sweet little baby..sick obviously, but being cared for.  Hopeful....",,Tiny newborn happy
175,premature infant being washed,This baby feels so clean and happy for the first time. It's yawning into sleep.,,premature infant being washed,,This baby feels so clean and happy for the first time. It's yawning into sleep.
176,So sweet. The baby is tiny,Even a premature birth can survive in todays world.,,So sweet. The baby is tiny,,Even a premature birth can survive in todays world.
177,"This is really sad, I hope they mad it.",A newborn being born and having their first bath.,,"This is really sad, I hope they mad it.",,A newborn being born and having their first bath.
